编号,精灵名,蛋种(产蛋形态),蛋组,最小蛋重(kg),最大蛋重(kg),最小蛋高(m),最大蛋高(m),主属性,副属性,属性,进化阶段,精灵形态,地区形态名称,精灵最小身高(m),精灵最大身高(m),精灵最小体重(kg),精灵最大体重(kg),BWiki页面标题,BWiki修订时间,BWiki抓取状态
NO.002,喵喵,喵喵,动物组、拟人组,1.267,1.84,0.23,0.31,草,,草,Ⅰ阶,原始形态,,0.53,0.75,3.62,4.6,喵喵,2026-06-07T04:54:06Z,ok
NO.003,喵呜,喵喵,动物组、拟人组,1.267,1.84,0.23,0.31,草,,草,Ⅱ阶,原始形态,,0.65,0.92,14.2,15.6,喵呜,2026-06-07T13:25:53Z,ok
NO.004,魔力猫,喵喵,动物组、拟人组,1.267,1.84,0.23,0.31,草,,草,最终形态,原始形态,,1.5,2.15,105,125,魔力猫,2026-06-07T14:35:47Z,ok
NO.005,火花,火花,巨灵组、魔力组,2.66,3.4,0.23,0.29,火,,火,Ⅰ阶,原始形态,,0.53,0.71,7.6,8.5,火花,2026-06-07T14:02:42Z,ok
NO.006,焰火,火花,巨灵组、魔力组,2.66,3.4,0.23,0.29,火,,火,Ⅱ阶,原始形态,,0.82,1.1,21,30.7,焰火,2026-06-07T14:04:06Z,ok
NO.007,火神,火花,巨灵组、魔力组,2.66,3.4,0.23,0.29,火,,火,最终形态,原始形态,,1.52,2.18,90.5,110,火神,2026-06-07T14:02:08Z,ok
NO.008,水蓝蓝,水蓝蓝,魔力组,0.998,1.36,0.19,0.27,水,,水,Ⅰ阶,原始形态,,0.45,0.65,2.85,4.205,水蓝蓝,2026-06-07T14:00:06Z,ok
NO.009,波波拉,水蓝蓝,魔力组,0.998,1.36,0.19,0.27,水,,水,Ⅱ阶,原始形态,,0.72,1.03,29.5,34,波波拉,2026-06-07T14:00:19Z,ok
NO.010,水灵,水蓝蓝,魔力组,0.998,1.36,0.19,0.27,水,,水,最终形态,原始形态,,1.08,1.54,77,85.5,水灵,2026-06-07T14:00:03Z,ok
NO.011,鸭吉吉（蓬松的样子）,鸭吉吉（蓬松的样子）,天空组,5.11,7.04,0.28,0.39,普通,,普通,最终形态,原始形态,蓬松的样子,0.65,0.94,14.6,17.6,鸭吉吉（蓬松的样子）,2026-06-07T14:36:58Z,ok
NO.011,鸭吉吉（紧实的样子）,鸭吉吉（紧实的样子）,天空组,1.96,3.28,0.28,0.39,普通,,普通,最终形态,原始形态,紧实的样子,0.65,0.94,5.6,8.2,鸭吉吉（紧实的样子）,2026-06-07T14:36:57Z,ok
NO.011,鸭吉吉（等一等鸭）,鸭吉吉（等一等鸭）,天空组,5.53,7.68,0.28,0.39,普通,,普通,最终形态,原始形态,等一等鸭,0.65,0.94,15.8,19.2,鸭吉吉（等一等鸭）,2026-06-07T14:36:28Z,ok
NO.011,鸭吉吉（起来鸭）,鸭吉吉（起来鸭）,天空组,5.53,7.68,0.28,0.39,普通,,普通,最终形态,原始形态,起来鸭,0.65,0.94,15.8,19.2,鸭吉吉（起来鸭）,2026-06-07T14:37:07Z,ok
NO.011,鸭吉吉（燃了鸭）,鸭吉吉（燃了鸭）,天空组,5.331,7.28,0.29,0.41,普通,,普通,最终形态,原始形态,燃了鸭,0.69,0.98,14.3,18.2,鸭吉吉（燃了鸭）,2026-06-07T14:36:22Z,ok
NO.012,板板壳（本来的样子）,板板壳（本来的样子）,两栖组,2.625,4.2,0.23,0.32,水,,水,Ⅰ阶,原始形态,本来的样子,0.53,0.76,7.5,10.5,板板壳（本来的样子）,2026-06-07T16:26:17Z,ok
NO.012,板板壳（蜕皮时的样子）,板板壳（本来的样子）,两栖组,2.625,4.2,0.23,0.32,水,,水,Ⅰ阶,地区形态,蜕皮时的样子,0.53,0.76,6.8,9.5,板板壳（蜕皮时的样子）,2026-06-07T13:56:43Z,ok
NO.013,咔咔壳（本来的样子）,板板壳（本来的样子）,两栖组,2.625,4.2,0.23,0.32,水,,水,Ⅱ阶,原始形态,本来的样子,0.65,0.92,19.5,24.5,咔咔壳（本来的样子）,2026-06-07T16:32:39Z,ok
NO.013,咔咔壳（蜕皮时的样子）,板板壳（本来的样子）,两栖组,2.625,4.2,0.23,0.32,水,,水,Ⅱ阶,地区形态,蜕皮时的样子,0.65,0.92,17.5,22.5,咔咔壳（蜕皮时的样子）,2026-06-07T13:24:47Z,ok
NO.014,水泡壳（本来的样子）,板板壳（本来的样子）,两栖组,2.625,4.2,0.23,0.32,水,,水,最终形态,原始形态,本来的样子,1.23,1.75,83.5,94.5,水泡壳（本来的样子）,2026-06-07T16:24:16Z,ok
NO.014,水泡壳（蜕皮时的样子）,板板壳（本来的样子）,两栖组,2.625,4.2,0.23,0.32,水,,水,最终形态,地区形态,蜕皮时的样子,1.23,1.75,79.5,90.5,水泡壳（蜕皮时的样子）,2026-06-07T13:59:55Z,ok
NO.015,锥尾羊,锥尾羊,动物组,4.655,6.6,0.24,0.34,幽,,幽,Ⅰ阶,原始形态,,0.57,0.81,13.3,16.5,锥尾羊,2026-06-07T14:32:33Z,ok
